,link,Proj_name,BHK,Property_type,Area,Area_type,Floor,RERA_status,Property_age,Property_type,Sale_type,Own_type,Furnishing_type,Water_type,Powerbackup,Price
35,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-marvel-arco-hadapsar-pune-1835-sq-ft-spid-Q36537841,"Marvel Arco Hadapsar, Pune",3BHK,Residential Apartment,1835 sq.ft.,Super Built-up Area,10th  of 12 Floors,REGISTERED,0 to 1 Year Old,Residential Apartment,Resale,Freehold,NA,"Municipal corporation,Borewell/Tank",Full,1.55 Cr
36,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-on-request-hadapsar-pune-1326-sq-ft-spid-E54404908,"On request Hadapsar, Pune",3BHK,Residential Apartment,1326 sq.ft.,Carpet Area,2nd  of 10 Floors,NOT AVAILABLE,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Partial,1.21 Cr
37,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-anu-celebria-apartment-hadapsar-pune-963-sq-ft-spid-K48086099,"Anu Celebria Apartment Hadapsar, Pune",2BHK,Residential Apartment,963 sq.ft.,Super Built-up Area,4th  of 7 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Municipal corporation,Full,65.65 Lac
38,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-leisure-town-hadapsar-pune-650-sq-ft-spid-F55453536,"Leisure Town Hadapsar, Pune",1BHK,Residential Apartment,650 sq.ft.,Super Built-up Area,9th  of 11 Floors,REGISTERED,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Partial,42 Lac
39,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-k-and-b-tranquility-shewalewadi-pune-950-sq-ft-spid-E45001429,"K and B Tranquility Shewalewadi, Pune",2BHK,Residential Apartment,950 sq.ft.,Super Built-up Area,4th  of 4 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,45.45 Lac
40,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-amanora-neo-towers-hadapsar-pune-1550-sq-ft-r1-spid-T54458072,"Amanora Neo Towers Hadapsar, Pune",3BHK,Residential Apartment,1550 sq.ft.,Super Built-up Area,28th  of 31 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,1.5 Cr
41,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-marvel-ritz-hadapsar-gaon-pune-3950-sq-ft-spid-K55355796,"Marvel Ritz Hadapsar Gaon, Pune",4BHK,Residential Apartment,3950 sq.ft.,Super Built-up Area,1st  of 7 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Furnished,Borewell/Tank,Full,2.71 Cr
42,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-magarpatta-city-jasminium-magarpatta-pune-1208-sq-ft-spid-B55912208,"Magarpatta City Jasminium Magarpatta, Pune",2BHK,Residential Apartment,1208 sq.ft.,Super Built-up Area,5th  of 11 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,90 Lac
43,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-magarpatta-cosmos-apartment-hadapsar-pune-1050-sq-ft-spid-G48105195,"Magarpatta Cosmos Apartment Hadapsar, Pune",2BHK,Residential Apartment,1050 sq.ft.,Super Built-up Area,8th  of 12 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,85 Lac
44,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-dreams-solace-satar-nagar-pune-680-sq-ft-spid-H55706644,"Dreams Solace Satar Nagar, Pune",2BHK,Residential Apartment,680 sq.ft.,Super Built-up Area,4th  of 12 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Borewell/Tank,Municipal corporation",Full,43 Lac
45,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-yash-ravi-park-hadapsar-pune-854-sq-ft-spid-B55706326,"Yash Ravi Park Hadapsar, Pune",2BHK,Residential Apartment,854 sq.ft.,Super Built-up Area,7th  of 11 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Full,45 Lac
46,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-mayur-geminus-hadapsar-pune-921-sq-ft-spid-W55705922,"Mayur Geminus Hadapsar, Pune",2BHK,Residential Apartment,921 sq.ft.,Built-up Area,2nd  of 12 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Borewell/Tank,Full,45 Lac
47,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-naren-bliss-hadapsar-pune-1150-sq-ft-spid-V55829134,"Naren Bliss Hadapsar, Pune",2BHK,Residential Apartment,1150 sq.ft.,Super Built-up Area,7th  of 12 Floors,REGISTERED,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,80 Lac
48,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-arihant-venkateshwara-green-city-hadapsar-pune-725-sq-ft-spid-R55534530,"Arihant Venkateshwara Green City Hadapsar, Pune",2BHK,Residential Apartment,725 sq.ft.,Super Built-up Area,4th  of 12 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,37.5 Lac
49,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-amanora-metro-towers-hadapsar-pune-667-sq-ft-spid-W54398712,"Amanora Metro Towers Hadapsar, Pune",1BHK,Residential Apartment,667 sq.ft.,Super Built-up Area,5th  of 22 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,57 Lac
